id,ctry,cit,reg,name,url,stat,date,prfs,lat,lon,prts,traf,avg,trgh,ipv6_avg,pch,updt,tc_rank,tw_rank,pc_rank,pr_rank,pw_rank,tr_rank,prts_url,q9,iata,regct
606,Tanzania,Arusha,Africa,"Arusha Internet eXchange Point",http://www.aixp.or.tz/,Active,20060626,4183,-3.33000,36.62000,16,2000000,0,0,0.000000,Yes,0000-00-00,3,537,2,31,517,34,https://www.peeringdb.com/ix/1201,Yes,ARK,67
613,"Czech Republic",Prague,Europe,"Neutral czFree eXchange",http://www.nfx.cz/,Active,20070900,0,50.08000,14.43000,12,197330000,145330000,122000000,0.000000,No,2022-02-28,3,268,3,255,603,94,http://www.nfx.cz/clenove,No,,337
616,Nigeria,Lagos,Africa,"Internet Exchange Point of Nigeria - Lagos",http://ixp.net.ng/,Active,20060000,538268,6.55000,3.35000,136,2844415986,1907422092,570370340,49.997350,Yes,2026-08-25,1,72,1,6,120,3,https://ixp.net.ng/connections,Yes,LOS,67
621,"El Salvador","San Salvador","Latin America","IXP de El Salvador",https://ixsal.sv,Active,20210909,0,13.69000,-89.19000,4,58902,19469,5952,50.017980,No,2026-08-25,1,613,1,130,808,118,https://portal.ixsal.sv/customer/details,No,,143
627,Sweden,Stockholm,Europe,"Stockholm Internet Exchange",https://www.sthix.net/,Active,20070000,0,59.33000,18.05000,92,352916423,232665061,83136264,0.000000,No,2026-08-25,2,210,2,81,174,71,https://www.sthix.net/index.php/home/connected-networks/,No,,337
630,"United States","Kansas City","North America","Kansas City Internet Exchange",http://www.kcix.net/,Active,20060000,788807,39.10000,-94.58000,72,700000000,0,300000000,0.000000,Yes,2022-02-28,21,154,30,36,209,23,https://www.kcix.net/participants.php,Yes,MCI,157
693,Lebanon,Beirut,Europe,"Lebanon Internet Exchange",https://lebix.org.lb/,Active,20071206,705,33.82000,35.48000,24,0,0,0,0.000000,Yes,2015-08-08,2,649,2,174,418,240,https://lebix.org.lb/,Yes,BEY,337
703,"United States",Billings,"North America","Yellowstone Regional Internet Exchange",http://www.yrix.org/,Active,20030000,0,45.77000,-108.48000,8,0,0,0,0.000000,No,0000-00-00,78,649,87,106,694,96,http://www.yrix.org/participants.php,No,,157
705,Germany,Stuttgart,Europe,"Stuttgarter Internet Exchange",http://www.stuttgart-ix.de/,Active,20050400,267198,48.83000,9.20000,37,474374254,244584870,72043384,50.000000,Yes,2026-08-25,5,192,20,149,340,65,https://portal.s-ix.de/customer/details,No,STR,337
723,Poland,Kraków,Europe,"Cracow Internet Exchange",http://cix.krakow.pl/,Active,20091100,0,50.08000,19.80000,52,0,0,0,0.000000,No,0000-00-00,10,649,8,118,270,240,http://cix.krakow.pl/?page_id=14,No,,337
725,Poland,Wroclaw,Europe,"Wroclaw Internet eXchange",http://wrix.org/,Active,20010200,0,51.11670,17.03330,43,0,0,0,0.000000,No,0000-00-00,10,649,9,137,314,240,https://wrix.org/uczestnicy_op_wrix/,No,,337
765,Rwanda,Kigali,Africa,"Rwanda Internet exchange",http://www.rinex.org.rw/,Active,20030000,1575,-1.97000,30.12000,29,25624913,15967635,2261941,0.000000,Yes,2026-08-25,1,399,1,18,380,28,https://rinex.org.rw/?-Connected-Networks-,Yes,KGL,67
767,Norway,Oslo,Europe,"Free Internet eXchange Oslo",https://fixo.no/,Active,20080116,0,59.95000,10.70000,47,0,0,0,0.000000,No,0000-00-00,7,649,2,127,293,240,https://portal.fixo.no/customer/details,No,,337
803,Netherlands,Rotterdam,Europe,"Rotterdam Internet eXchange",https://r-ix.nl/,Active,20070000,10450,51.95000,4.45000,675,2230000000,1380000000,500000000,0.000000,Yes,2018-02-28,5,83,2,5,11,23,https://www.nl-ix.net/connected-networks/,No,,337
804,Romania,Bucharest,Europe,InterLAN-IX,https://www.interlan.ro/,Active,20070000,779098,44.50000,26.13000,151,1545603946,1214577860,798821216,50.014200,Yes,2026-08-25,1,106,1,52,108,33,https://www.interlan.ro/parteneri/#continut,Yes,OTP,337
834,China,"Hong Kong",Asia-Pacific,"Equinix Internet Exchange Hong Kong",https://ix.equinix.com/home/,Active,20090000,1603443,22.33000,114.18000,232,2007041163,1705560151,1701487183,0.000000,Yes,2026-08-25,3,88,2,16,59,19,https://ix.equinix.com/home/locations-and-traffic/#traffic,No,HKG2,190
864,Sweden,Gothenburg,Europe,"Gothenburg Internet Exchange",http://www.gix.se/,Active,20051221,0,57.67000,12.30000,15,0,0,0,0.000000,No,0000-00-00,14,649,12,229,544,240,,No,,337
